face_folder,audio_path,label,method,type,category,source_path,true_label,pred_label,prob_fake,threshold,is_correct,error_type
FakeAVCeleb_LipSync/test/1_190_id03649_00001_id00271_wavtolip,FakeAVCeleb_LipSync/test/1_190_id03649_00001_id00271_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (European)/women/id03649\00001_id00271_wavtolip.mp4,1,0,0.0100555419921875,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_133_id01051_00322_id00358_wavtolip,FakeAVCeleb_LipSync/test/1_133_id01051_00322_id00358_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (European)/men/id01051\00322_id00358_wavtolip.mp4,1,0,0.007694244384765625,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_751_id06354_00021_id07200_wavtolip,FakeAVCeleb_LipSync/test/1_751_id06354_00021_id07200_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (South)/men/id06354\00021_id07200_wavtolip.mp4,1,0,0.007289886474609375,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_734_id07194_00014_id00857_wavtolip,FakeAVCeleb_LipSync/test/1_734_id07194_00014_id00857_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (South)/men/id07194\00014_id00857_wavtolip.mp4,1,0,0.0070648193359375,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_534_id00431_00039_id03696_wavtolip,FakeAVCeleb_LipSync/test/1_534_id00431_00039_id03696_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (American)/women/id00431\00039_id03696_wavtolip.mp4,1,0,0.00547027587890625,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_394_id08402_00092_id07039_wavtolip,FakeAVCeleb_LipSync/test/1_394_id08402_00092_id07039_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (East)/women/id08402\00092_id07039_wavtolip.mp4,1,0,0.0054473876953125,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_810_id03103_00130_id00829_wavtolip,FakeAVCeleb_LipSync/test/1_810_id03103_00130_id00829_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/African/women/id03103\00130_id00829_wavtolip.mp4,1,0,0.0048675537109375,0.5999999999999998,False,false_real_fake_predicted_real
FakeAVCeleb_LipSync/test/1_932_id00403_00052_id00234_M3g5KRLJB60_faceswap_id00232_wavtolip,FakeAVCeleb_LipSync/test/1_932_id00403_00052_id00234_M3g5KRLJB60_faceswap_id00232_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (European)/women/id00403\00052_id00234_M3g5KRLJB60_faceswap_id00232_wavtolip.mp4,1,1,0.99658203125,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_901_id00945_00107_id00052_NK_leX996Yk_id01201_wavtolip,FakeAVCeleb_LipSync/test/1_901_id00945_00107_id00052_NK_leX996Yk_id01201_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/men/id00945\00107_id00052_NK_leX996Yk_id01201_wavtolip.mp4,1,1,0.99658203125,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_749_id01783_00015_id03747_wQOOhZvnrq4_id00832_wavtolip,FakeAVCeleb_LipSync/test/1_749_id01783_00015_id03747_wQOOhZvnrq4_id00832_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/women/id01783\00015_id03747_wQOOhZvnrq4_id00832_wavtolip.mp4,1,1,0.99658203125,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_587_id06269_00005_id09053_wavtolip,FakeAVCeleb_LipSync/test/1_587_id06269_00005_id09053_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (East)/men/id06269\00005_id09053_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_456_id03945_00063_id07165_wavtolip,FakeAVCeleb_LipSync/test/1_456_id03945_00063_id07165_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (South)/men/id03945\00063_id07165_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_179_id00071_00014_id00328_wavtolip,FakeAVCeleb_LipSync/test/1_179_id00071_00014_id00328_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (European)/women/id00071\00014_id00328_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_754_id06268_00159_id07051_d1c0Pl2aP_4_faceswap_id03815_wavtolip,FakeAVCeleb_LipSync/test/1_754_id06268_00159_id07051_d1c0Pl2aP_4_faceswap_id03815_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (South)/women/id06268\00159_id07051_d1c0Pl2aP_4_faceswap_id03815_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_525_id01544_00044_id01521_wavtolip,FakeAVCeleb_LipSync/test/1_525_id01544_00044_id01521_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/men/id01544\00044_id01521_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_80_id01835_00130_id00761_QtTNFhCCgzw_id02296_wavtolip,FakeAVCeleb_LipSync/test/1_80_id01835_00130_id00761_QtTNFhCCgzw_id02296_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/men/id01835\00130_id00761_QtTNFhCCgzw_id02296_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_922_id00076_00109_id00476_wavtolip,FakeAVCeleb_LipSync/test/1_922_id00076_00109_id00476_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/men/id00076\00109_id00476_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_337_id06269_00005_id06470_XoAiqCrOlyk_faceswap_id05383_wavtolip,FakeAVCeleb_LipSync/test/1_337_id06269_00005_id06470_XoAiqCrOlyk_faceswap_id05383_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (East)/men/id06269\00005_id06470_XoAiqCrOlyk_faceswap_id05383_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_43_id06752_00221_id07049_BiljgZcyWI4_id06254_wavtolip,FakeAVCeleb_LipSync/test/1_43_id06752_00221_id07049_BiljgZcyWI4_id06254_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (South)/women/id06752\00221_id07049_BiljgZcyWI4_id06254_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_816_id02824_00130_id05106_wavtolip,FakeAVCeleb_LipSync/test/1_816_id02824_00130_id05106_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/women/id02824\00130_id05106_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_106_id00068_00004_1_id00633_wavtolip,FakeAVCeleb_LipSync/test/1_106_id00068_00004_1_id00633_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (European)/women/id00068\00004_1_id00633_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_599_id00616_00305_id03605_JGZt9DAhBRs_id00190_wavtolip,FakeAVCeleb_LipSync/test/1_599_id00616_00305_id03605_JGZt9DAhBRs_id00190_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/women/id00616\00305_id03605_JGZt9DAhBRs_id00190_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_201_id01091_00236_id00431_wavtolip,FakeAVCeleb_LipSync/test/1_201_id01091_00236_id00431_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (American)/women/id01091\00236_id00431_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_973_id03344_00114_id07058_JXJTxhrICl0_faceswap_id00032_wavtolip,FakeAVCeleb_LipSync/test/1_973_id03344_00114_id07058_JXJTxhrICl0_faceswap_id00032_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (South)/men/id03344\00114_id07058_JXJTxhrICl0_faceswap_id00032_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_14_id01044_00336_id01192_kAht8HG7-1s_faceswap_id00088_wavtolip,FakeAVCeleb_LipSync/test/1_14_id01044_00336_id01192_kAht8HG7-1s_faceswap_id00088_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/men/id01044\00336_id01192_kAht8HG7-1s_faceswap_id00088_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_951_id03605_00048_2_id01245_wavtolip,FakeAVCeleb_LipSync/test/1_951_id03605_00048_2_id01245_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/women/id03605\00048_2_id01245_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_740_id01163_00195_id00062_bctnrIvZHTs_id00943_wavtolip,FakeAVCeleb_LipSync/test/1_740_id01163_00195_id00062_bctnrIvZHTs_id00943_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/men/id01163\00195_id00062_bctnrIvZHTs_id00943_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_28_id00266_00470_id00368_wavtolip,FakeAVCeleb_LipSync/test/1_28_id00266_00470_id00368_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (European)/men/id00266\00470_id00368_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_112_id01179_00160_id02005_7_Egh9mW5y4_id00366_wavtolip,FakeAVCeleb_LipSync/test/1_112_id01179_00160_id02005_7_Egh9mW5y4_id00366_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/men/id01179\00160_id02005_7_Egh9mW5y4_id00366_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_76_id00841_00078_id01075_MtJUiHspdT0_id01216_wavtolip,FakeAVCeleb_LipSync/test/1_76_id00841_00078_id01075_MtJUiHspdT0_id01216_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/women/id00841\00078_id01075_MtJUiHspdT0_id01216_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_554_id00568_00384_id01178_wavtolip,FakeAVCeleb_LipSync/test/1_554_id00568_00384_id01178_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/women/id00568\00384_id01178_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_666_id00025_00025_id01004_867Wlj7Gw68_faceswap_id03605_wavtolip,FakeAVCeleb_LipSync/test/1_666_id00025_00025_id01004_867Wlj7Gw68_faceswap_id03605_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/women/id00025\00025_id01004_867Wlj7Gw68_faceswap_id03605_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_765_id00080_00281_id07136_4e43eS5p3_M_faceswap_id07377_wavtolip,FakeAVCeleb_LipSync/test/1_765_id00080_00281_id07136_4e43eS5p3_M_faceswap_id07377_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (South)/women/id00080\00281_id07136_4e43eS5p3_M_faceswap_id07377_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_874_id02310_00139_id02619_wavtolip,FakeAVCeleb_LipSync/test/1_874_id02310_00139_id02619_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Asian (South)/women/id02310\00139_id02619_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_597_id00243_00037_id01044_wavtolip,FakeAVCeleb_LipSync/test/1_597_id00243_00037_id01044_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/men/id00243\00037_id01044_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_451_id02051_00015_id01530_wavtolip,FakeAVCeleb_LipSync/test/1_451_id02051_00015_id01530_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/men/id02051\00015_id01530_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_468_id04537_00083_0_id00773_wavtolip,FakeAVCeleb_LipSync/test/1_468_id04537_00083_0_id00773_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (South)/men/id04537\00083_0_id00773_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_446_id01521_00109_id02494_lObg47hQleE_id01598_wavtolip,FakeAVCeleb_LipSync/test/1_446_id01521_00109_id02494_lObg47hQleE_id01598_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/men/id01521\00109_id02494_lObg47hQleE_id01598_wavtolip.mp4,1,1,0.99609375,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_822_id00100_00028_2_id01075_wavtolip,FakeAVCeleb_LipSync/test/1_822_id00100_00028_2_id01075_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/women/id00100\00028_2_id01075_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_693_id00187_00360_id01052_Kf4nlIEHfaU_id00963_wavtolip,FakeAVCeleb_LipSync/test/1_693_id00187_00360_id01052_Kf4nlIEHfaU_id00963_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (European)/men/id00187\00360_id01052_Kf4nlIEHfaU_id00963_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_694_id00498_00014_id01123_wavtolip,FakeAVCeleb_LipSync/test/1_694_id00498_00014_id01123_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/Caucasian (European)/men/id00498\00014_id01123_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_594_id00826_00065_id00735_ivJSkq5hGOQ_id03589_wavtolip,FakeAVCeleb_LipSync/test/1_594_id00826_00065_id00735_ivJSkq5hGOQ_id03589_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (European)/women/id00826\00065_id00735_ivJSkq5hGOQ_id03589_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_484_id00100_00028_2_id00098_wavtolip,FakeAVCeleb_LipSync/test/1_484_id00100_00028_2_id00098_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/women/id00100\00028_2_id00098_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_896_id01239_00280_id01210_sMdOO7NqsGY_faceswap_id00529_wavtolip,FakeAVCeleb_LipSync/test/1_896_id01239_00280_id01210_sMdOO7NqsGY_faceswap_id00529_wavtolip.wav,1,faceswap-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/men/id01239\00280_id01210_sMdOO7NqsGY_faceswap_id00529_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_281_id03889_00052_id02365_wavtolip,FakeAVCeleb_LipSync/test/1_281_id03889_00052_id02365_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (East)/men/id03889\00052_id02365_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_216_id07210_00005_id04537_wavtolip,FakeAVCeleb_LipSync/test/1_216_id07210_00005_id04537_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (South)/men/id07210\00005_id04537_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_386_id01211_00023_id00062_bctnrIvZHTs_id00345_wavtolip,FakeAVCeleb_LipSync/test/1_386_id01211_00023_id00062_bctnrIvZHTs_id00345_wavtolip.wav,1,fsgan-wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Caucasian (American)/men/id01211\00023_id00062_bctnrIvZHTs_id00345_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_181_id07210_00005_id04560_wavtolip,FakeAVCeleb_LipSync/test/1_181_id07210_00005_id04560_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/Asian (South)/men/id07210\00005_id04560_wavtolip.mp4,1,1,0.99560546875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_20_id01933_00028_id02005_wavtolip,FakeAVCeleb_LipSync/test/1_20_id01933_00028_id02005_wavtolip.wav,1,wav2lip,FakeVideo-RealAudio,C,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-RealAudio/African/men/id01933\00028_id02005_wavtolip.mp4,1,1,0.9951171875,0.5999999999999998,True,correct
FakeAVCeleb_LipSync/test/1_795_id00592_00017_id01661_wavtolip,FakeAVCeleb_LipSync/test/1_795_id00592_00017_id01661_wavtolip.wav,1,wav2lip,FakeVideo-FakeAudio,D,D:\Projects\FakeAVCeleb_v1.2\FakeVideo-FakeAudio/African/women/id00592\00017_id01661_wavtolip.mp4,1,1,0.9951171875,0.5999999999999998,True,correct
